"","plot","long","lat","samp_date","src_data"
"1","Acid1",-150.421579,68.04765,"7/25/12 0:00","ARCN FIA plot"
"2","Acid123",-154.639125,67.200064,"7/6/12 0:00","ARCN FIA plot"
"3","Acid141",-150.530551,67.729479,"7/19/12 0:00","ARCN FIA plot"
"4","Acid148",-154.613435,68.343623,"8/11/12 0:00","ARCN FIA plot"
"5","Acid155",-154.63249,68.339265,"8/12/12 0:00","ARCN FIA plot"
"6","Acid174",-155.571803,67.958701,"8/4/12 0:00","ARCN FIA plot"
"7","Acid18",-150.415726,68.06361,"7/25/12 0:00","ARCN FIA plot"
"8","Acid187",-150.507102,67.742953,"7/19/12 0:00","ARCN FIA plot"
"9","Acid191",-150.548102,68.050502,"7/23/12 0:00","ARCN FIA plot"
"10","Acid6",-153.199695,67.88561,"8/10/12 0:00","ARCN FIA plot"
"11","Acid70",-150.504191,68.089745,"7/26/12 0:00","ARCN FIA plot"
"12","Acid91",-154.658217,68.340994,"8/12/12 0:00","ARCN FIA plot"
"13","Alder1",-154.640143,67.187954,"7/6/12 0:00","ARCN FIA plot"
"14","Alder19",-155.437668,67.980597,"8/5/12 0:00","ARCN FIA plot"
"15","Alder28",-154.544579,67.174809,"7/3/12 0:00","ARCN FIA plot"
"16","Alder5",-153.03447,67.406899,"8/21/12 0:00","ARCN FIA plot"
"17","Alder59",-154.511817,67.220283,"7/5/12 0:00","ARCN FIA plot"
"18","Basic10",-155.466718,67.988193,"8/1/12 0:00","ARCN FIA plot"
"19","Basic11",-155.478432,67.989785,"8/1/12 0:00","ARCN FIA plot"
"20","Basic17",-155.330103,67.970933,"8/2/12 0:00","ARCN FIA plot"
"21","Basic18",-153.019989,67.370025,"8/20/12 0:00","ARCN FIA plot"
"22","Basic23",-153.725544,67.366313,"7/9/12 0:00","ARCN FIA plot"
"23","Basic3",-153.761812,67.385541,"7/11/12 0:00","ARCN FIA plot"
"24","Basic32",-153.707325,67.374366,"7/9/12 0:00","ARCN FIA plot"
"25","Basic34",-153.761022,67.330364,"7/12/12 0:00","ARCN FIA plot"
"26","Basic6",-153.744984,67.32815,"7/12/12 0:00","ARCN FIA plot"
"27","Decid11",-155.727116,66.87743,"6/30/12 0:00","ARCN FIA plot"
"28","Decid4",-152.944047,67.385887,"8/19/12 0:00","ARCN FIA plot"
"29","Decid8",-154.5061,67.218417,"7/5/12 0:00","ARCN FIA plot"
"30","Dwarf101",-153.022061,67.375546,"8/18/12 0:00","ARCN FIA plot"
"31","Dwarf107",-154.610084,68.338215,"8/12/12 0:00","ARCN FIA plot"
"32","Dwarf123",-150.484076,67.793528,"7/20/12 0:00","ARCN FIA plot"
"33","Dwarf14",-150.394067,68.105606,"7/24/12 0:00","ARCN FIA plot"
