OBJECTID,Join_Count,TARGET_FID,plot,park,AdjHeight,grazing,tree,forb,graminoid,bryophyte,lichen,soil,duff,rock,water,richness,tas_decadal_mean,logs_cru,mu_ALT,mu_perma,pr_decadal_mean,dem_1km,slope_1km,FIREYEAR,PROBABILIT,vap_01_1995,vap_02_1995,vap_03_1995,vap_04_1995,vap_05_1995,vap_06_1995,vap_07_1995,vap_08_1995,vap_09_1995,vap_10_1995,vap_11_1995,vap_12_1995,rsds_01_1995,rsds_02_1995,rsds_03_1995,rsds_04_1995,rsds_05_1995,rsds_06_1995,rsds_07_1995,rsds_08_1995,rsds_09_1995,rsds_10_1995,rsds_11_1995,rsds_12_1995,vap_05_1990_1999,vap_08_1990_1999,rsds_05_1990_1999_AkAlbers,rsds_08_1990_1999_AkAlbers
1,0,1,Q3-L5,3,2.075000000000000,0,0.000000000000000,2.000000000000000,0.010000000000000,0.010000000000000,0.010000000000000,0.010000000000000,0.000000000000000,98.000000000000000,0.000000000000000,14,-10.3999996,122.0000000,96.7099991,13.0000000,490.0000000,725.5893555,3.6206703,,,0.8000000,0.9000000,0.7000000,2.3000000,6.8000002,11.0000000,12.6000004,9.6000004,6.8000002,2.4000001,1.1000000,0.7000000,0.0958129,1.7854987,6.4368539,11.5874968,15.8012810,18.7417374,16.6584625,10.8122606,6.3791242,2.2078245,0.2688930,0.0000000,3.7351580,8.3428497,10.9943218,10.9943218
2,0,2,NE-5b,3,3.540000000000000,0,0.000000000000000,25.000000000000000,3.000000000000000,35.000000000000000,10.000000000000000,10.000000000000000,20.000000000000000,50.000000000000000,0.000000000000000,38,-9.3999996,118.0000000,97.5500031,5.0000000,502.0000000,872.4511108,2.9481685,,,0.8000000,0.9000000,0.7000000,2.7000000,6.5999999,9.8999996,11.8000002,9.1000004,6.5999999,2.5999999,1.2000000,0.7000000,0.0894852,1.7444088,6.4191504,11.7341862,15.6733236,18.7130890,16.7820663,10.9117069,6.3933039,2.1580298,0.2631814,0.0000000,3.6687315,7.9570756,11.0987358,11.0987358
3,0,3,Q1-L2,3,2.537500000000000,0,0.000000000000000,15.000000000000000,2.000000000000000,2.000000000000000,40.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,41,-9.1999998,129.0000000,56.7599983,71.0000000,448.0000000,596.0632935,2.6446085,,,0.8000000,1.0000000,0.8000000,2.5999999,7.0999999,11.1000004,12.8999996,9.8000002,6.9000001,2.5999999,1.2000000,0.7000000,0.0969309,1.7897776,6.4482217,11.5909634,15.8376160,18.7821198,16.6770611,10.8427067,6.3988118,2.2171834,0.2709977,0.0000000,3.7351580,8.3428497,11.0567045,11.0567045
4,0,4,Q3-A5,3,2.957500000000000,0,0.000000000000000,20.000000000000000,5.000000000000000,20.000000000000000,5.000000000000000,0.010000000000000,1.000000000000000,40.000000000000000,7.000000000000000,26,-9.1999998,130.0000000,97.5500031,5.0000000,468.0000000,632.0097656,1.3591954,,,0.8000000,0.9000000,0.7000000,2.4000001,6.9000001,11.0000000,12.8000002,9.6999998,6.8000002,2.5000000,1.1000000,0.7000000,0.0969356,1.7903242,6.4488997,11.5914059,15.8196421,18.7606354,16.6769447,10.8287830,6.3913364,2.2147555,0.2712228,0.0000000,3.7351580,8.3428497,11.0427837,11.0427837
5,0,5,Q3-D2,3,3.659166667000000,0,0.000000000000000,35.000000000000000,5.000000000000000,5.000000000000000,25.000000000000000,0.010000000000000,1.000000000000000,0.000000000000000,0.000000000000000,33,-9.5000000,128.0000000,56.7599983,71.0000000,458.0000000,630.0031128,1.6900189,,,0.8000000,1.0000000,0.8000000,2.5999999,7.0999999,11.1000004,12.8999996,9.8000002,6.9000001,2.5999999,1.2000000,0.7000000,0.0969309,1.7897776,6.4482217,11.5909634,15.8376160,18.7821198,16.6770611,10.8427067,6.3988118,2.2171834,0.2709977,0.0000000,3.7351580,8.3428497,11.0262146,11.0262146
6,0,6,Q3-L2,3,2.075000000000000,0,0.000000000000000,40.000000000000000,0.010000000000000,5.000000000000000,15.000000000000000,3.000000000000000,3.000000000000000,10.000000000000000,0.000000000000000,30,-9.5000000,128.0000000,56.7599983,71.0000000,458.0000000,630.0031128,1.6900189,,,0.8000000,1.0000000,0.8000000,2.5999999,7.0999999,11.1000004,12.8999996,9.8000002,6.9000001,2.5999999,1.2000000,0.7000000,0.0969309,1.7897776,6.4482217,11.5909634,15.8376160,18.7821198,16.6770611,10.8427067,6.3988118,2.2171834,0.2709977,0.0000000,3.7351580,8.3428497,11.0262146,11.0262146
7,0,7,Q3-H3,3,2.662500000000000,0,0.000000000000000,45.000000000000000,2.000000000000000,5.000000000000000,15.000000000000000,2.000000000000000,1.000000000000000,15.000000000000000,0.000000000000000,52,-10.1999998,119.0000000,97.5500031,5.0000000,455.0000000,578.6875610,2.8054137,,,0.8000000,1.0000000,0.8000000,2.5999999,7.0999999,11.1000004,12.8999996,9.8000002,6.9000001,2.5999999,1.2000000,0.7000000,0.0969309,1.7897776,6.4482217,11.5909634,15.8376160,18.7821198,16.6770611,10.8427067,6.3988118,2.2171834,0.2709977,0.0000000,3.7351580,8.3428497,11.0567045,11.0567045
8,0,8,NW-5a,3,2.910000000000000,0,0.000000000000000,4.000000000000000,0.100000000000000,3.000000000000000,5.000000000000000,5.000000000000000,0.100000000000000,75.000000000000000,0.000000000000000,23,-9.8000002,126.0000000,96.7099991,13.0000000,471.0000000,553.5086060,2.5693200,,,0.8000000,1.0000000,0.8000000,2.7000000,7.0999999,11.0000000,13.1000004,9.6999998,6.6999998,2.7000000,1.2000000,0.8000000,0.0998653,1.8022033,6.4636321,11.5888338,15.8745728,18.7761269,16.6743946,10.8771210,6.4257236,2.2334192,0.2757947,0.0000000,3.6776648,8.2715101,11.0405750,11.0405750
9,0,9,04-H3,3,3.690000000000000,0,0.000000000000000,57.000000000000000,3.000000000000000,40.000000000000000,10.000000000000000,5.000000000000000,5.000000000000000,0.000000000000000,5.000000000000000,35,-8.3999996,132.0000000,56.7599983,71.0000000,408.0000000,485.3263550,1.0365826,,,0.7000000,1.0000000,0.9000000,3.0000000,7.5999999,11.3000002,13.3000002,10.1000004,7.0999999,2.9000001,1.3000000,0.8000000,0.1069289,1.8350985,6.5036259,11.6963882,15.8948221,18.8264980,16.7272263,10.9188471,6.4739037,2.2623165,0.2910351,0.0000000,3.7456064,8.3061314,11.1062298,11.1062298
10,0,10,NE-3a,3,3.898750000000000,0,0.000000000000000,5.000000000000000,15.000000000000000,55.000000000000000,35.000000000000000,4.000000000000000,10.000000000000000,0.100000000000000,0.000000000000000,45,-9.8000002,125.0000000,92.0000000,3.0000000,431.0000000,535.6278687,1.2276145,,,0.7000000,0.9000000,0.8000000,3.3000000,7.4000001,10.3000002,12.8000002,9.5000000,6.6999998,2.8000000,1.3000000,0.7000000,0.1037480,1.8083323,6.5045877,11.8313761,15.9116592,18.8968925,16.9643459,11.0825129,6.5413799,2.2359526,0.2897320,0.0000000,3.8537276,8.2329960,11.2817984,11.2817984
