FID,Veg_Plot,60_Meter,NW_AK_Sn,Veg_Class,GPScorDD84,GPScorDD_1,hae,GPScorZ,GPStrmMode,GPStrmDate,GPStrmTime,GPScorVert,GPScorHorz,Notes,Tree,Tall_Shr,Mid_Tall,Low_Shru,Dwarf_Sh,Graminoi,Forbs,Bryophyt,Lichens,Soil,Duff,Rock,Water,B1,B2,B3,B4,B5,B7,NDVI
0,Acid1,4953,146,Acid,-150.421579,68.04765,1527.312,1518.519,GeoXH 2005,7/25/12 0:00,12:31:22pm,0.9,0.6, ,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,131,148,134,82,147,2,50
1,Acid123,3152,166,Acid,-154.639125,67.200064,962.626,954.695,GeoXH 2005,7/6/12 0:00,02:02:28pm,0.7,0.5, ,0,3,3,0.25,45,0.5,0,10,0,0,0,0,0,48,56,39,61,89,6,23
2,Acid141,3593,140,Basic,-150.530551,67.729479,1086.7,1078.118,GeoXH 2005,7/19/12 0:00,04:33:33pm,0.5,0.5, ,0,0,0,0,10,0.25,0,0,0,0,0,0,0,179,204,168,132,193,3,73
3,Acid148,3605,94,Basic,-154.613435,68.343623,1083.326,1076.687,GeoXH 2005,8/11/12 0:00,03:56:52pm,0.7,0.6, ,0,0,0,0,0,0.5,0,0,0,0,0,0,0,158,173,160,97,173,3,60
4,Acid155,5029,131,Basic,-154.63249,68.339265,1529.799,1523.144,GeoXH 2005,8/12/12 0:00,02:49:26pm,0.5,0.6, ,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,253,255,229,145,255,2,88
5,Acid174,3124,139,Acid,-155.571803,67.958701,974.753,967.622,GeoXH 2005,8/4/12 0:00,04:16:13pm,1,0.7, ,0,0.5,0.5,10,0.5,0.5,0,5,0,0,0,0,0,44,43,32,37,60,2,17
6,Acid18,3775,154,Acid,-150.415726,68.06361,1150.786,1141.999,GeoXH 2005,7/25/12 0:00,02:56:20pm,0.8,0.4, ,0,0,0,0,10,0.5,0,35,0,0,0,0,0,67,69,59,54,101,1,28
7,Acid187,3401,140,Basic,-150.507102,67.742953,1021.729,1013.125,GeoXH 2005,7/19/12 0:00,11:48:12am,3.4,1.4, ,0,0,0,0.5,15,0,0,0.5,0,0,0,0,0,141,139,119,82,205,3,48
8,Acid191,4427,132,Acid,-150.548102,68.050502,1346.725,1338.059,GeoXH 2005,7/23/12 0:00,02:55:42pm,0.7,0.5, ,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,105,126,110,77,126,3,45
9,Acid6,4474,122,Acid,-153.199695,67.88561,1353.304,1345.859,GeoXH 2005,8/10/12 0:00,02:33:05pm,0.5,0.5, ,0,0,0,0.5,0,0,0,0,0,0,0,0,0,133,145,121,73,104,6,45
10,Acid70,6013,154,Acid,-150.504191,68.089745,1856.197,1847.524,GeoXH 2005,7/26/12 0:00,12:48:59pm,0.5,0.4, ,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,119,127,110,74,204,2,44
11,Acid91,4711,143,Basic,-154.658217,68.340994,1416.741,1410.108,GeoXH 2005,8/12/12 0:00,04:50:17pm,0.7,0.5, ,0,0,0,0,10,0.5,0,3,0,0,0,0,0,67,58,52,43,77,3,23
12,Alder1,2335,146,Decid/Alder/Willow,-154.640143,67.187954,724.346,716.408,GeoXH 2005,7/6/12 0:00,05:14:38pm,0.7,0.8, ,0,90,90,5,25,0.5,0,3,0,0,0,0,0,36,65,36,193,137,6,30
13,Alder19,2467,144,Decid/Alder/Willow,-155.437668,67.980597,749.412,742.164,GeoXH 2005,8/5/12 0:00,10:11:27am,0.6,0.5, ,0,20,30,15,0.5,65,0,1,0,0,0,0,0,48,72,59,113,154,3,38
14,Alder28,2103,146,Decid/Alder/Willow,-154.544579,67.174809,603.296,595.309,GeoXH 2005,7/3/12 0:00,11:31:11am,0.6,0.5, ,0,80,80,0.5,0.5,0.25,0,1,0,0,0,0,0,27,42,23,125,91,6,19
15,Alder5,2678,122,Decid/Alder/Willow,-153.03447,67.406899,786.83,778.814,GeoXH 2005,8/21/12 0:00,03:44:04pm,0.7,0.6, ,0,95,95,10,0,0.5,0,1,0,0,0,0,0,48,67,30,212,163,3,26
16,Alder59,1952,138,Decid/Alder/Willow,-154.511817,67.220283,595,0,-,7/5/12 0:00,-,0,0,Lat/Long and elevation are GIS generated. Vegetation and topography prevented obtaining point with GPS.,0,97,97,3,0.5,10,0,0.5,0,0,0,0,0,30,62,23,241,166,7,20
17,Basic10,3487,118,Acid,-155.466718,67.988193,1074.102,1066.902,GeoXH 2005,8/1/12 0:00,11:00:08am,0.9,0.8, ,0,0,0,0.5,1,0.5,0,0.5,0,0,0,0,0,74,81,65,61,194,2,31
18,Basic11,3371,116,Acid,-155.478432,67.989785,1040.681,1033.497,GeoXH 2005,8/1/12 0:00,02:04:43pm,0.8,0.5, ,0,0,0,0,0,0,0,0.5,0,0,0,0,0,85,75,66,46,189,2,27
19,Basic17,3741,124,Acid,-155.330103,67.970933,1153.809,1146.43,GeoXH 2005,8/2/12 0:00,04:53:32pm,1.5,1.1, ,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0,83,87,69,53,216,3,29
20,Basic18,3966,140,Basic,-153.019989,67.370025,1187.281,1179.187,GeoXH 2005,8/20/12 0:00,04:48:24pm,0.6,0.7, ,0,0,0.5,0,25,0.5,0,0.5,0,0,0,0,0,160,170,143,114,200,5,63
21,Basic23,2536,140,Basic,-153.725544,67.366313,784.878,776.876,GeoXH 2005,7/9/12 0:00,02:56:51pm,1,0.8, ,0,0.25,0.25,0,3,0.25,0,0.25,0,0,0,0,0,77,89,67,64,119,6,32
22,Basic3,2546,144,Basic,-153.761812,67.385541,800.234,792.269,GeoXH 2005,7/11/12 0:00,05:43:04pm,1,0.8, ,0,0.25,0.25,0.25,50,0.5,0,0.5,0,0,0,0,0,39,40,31,45,64,7,18
23,Basic32,2434,147,Basic,-153.707325,67.374366,758.568,750.577,GeoXH 2005,7/9/12 0:00,07:27:52pm,0.7,0.5, ,0,0,0,0,60,10,0,0,0,0,0,0,0,36,48,39,58,86,7,23
24,Basic34,3119,154,Basic,-153.761022,67.330364,972.01,963.956,GeoXH 2005,7/12/12 0:00,04:32:53pm,0.7,0.6, ,0,5,5,1,35,0.5,0,1,0,0,0,0,0,31,39,28,58,69,6,18
25,Basic6,3357,148,Basic,-153.744984,67.32815,1017.746,1009.685,GeoXH 2005,7/12/12 0:00,01:53:11pm,1.1,0.7, ,0,0.5,0.5,0.5,45,0.5,0,0.5,0,0,0,0,0,27,28,25,56,56,6,17
26,Decid11,1088,138,Needle,-155.727116,66.87743,335.638,328.272,GeoXH 2005,6/30/12 0:00,01:00:59pm,2.8,1.4, ,0,25,30,30,3,3,0,0.5,0,0,0,0,0,34,47,31,165,134,9,26
