system:index,blue_p010,blue_p025,blue_p050,blue_p075,blue_p090,evi_p010,evi_p025,evi_p050,evi_p075,evi_p090,green_p010,green_p025,green_p050,green_p075,green_p090,latitude_209564535,lich_vol,longitude_209564535,nbr_p010,nbr_p025,nbr_p050,nbr_p075,nbr_p090,ndmi_p010,ndmi_p025,ndmi_p050,ndmi_p075,ndmi_p090,ndsi_p010,ndsi_p025,ndsi_p050,ndsi_p075,ndsi_p090,ndvi_p010,ndvi_p025,ndvi_p050,ndvi_p075,ndvi_p090,ndwi_p010,ndwi_p025,ndwi_p050,ndwi_p075,ndwi_p090,nir_p010,nir_p025,nir_p050,nir_p075,nir_p090,randSel,red_p010,red_p025,red_p050,red_p075,red_p090,swir1_p010,swir1_p025,swir1_p050,swir1_p075,swir1_p090,swir2_p010,swir2_p025,swir2_p050,swir2_p075,swir2_p090,topo_elev_m_30m,topo_slope_deg_30m,.geo
00000000000000000084_0,449.69444444444446,449.69444444444446,571.3809523809524,691.4444444444445,834.25,2482.041587901701,3031.434551646831,4046.9407862610183,4441.562317897309,4846.517119244392,627.875,701.6388888888889,701.6388888888889,818.695652173913,1091.25,,136.45625,,2313.5464,2994.186,3792.1204,4174.8135,4486.2046,-564.5293,-70.19186,435.727,845.94836,1171.9805,-6159.8037,-6112.028,-5738.942,-5021.5684,-4513.059,3614.589,4899.7134,5838.2383,6416.499,6598.707,-6450.6255,-6278.9717,-5969.5776,-5325.0547,-4484.864,2500.6666666666665,2749.5,3010.375,3140.1111111111113,3364.5,0.19229303589708235,600.5,698.1515151515151,698.1515151515151,942.9230769230769,1187.0,2488.0,2640.0,2767.75,2856.3333333333335,3113.6666666666665,1227.0,1264.5,1387.0,1523.2857142857142,1621.0,548.8852,13.306408,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.66193227569056,68.37845687001601]}"
0000000000000000008c_0,338.5,395.0,467.6666666666667,625.5,835.0,1381.9481817482892,1810.374840431705,2330.9663476381597,2808.813857011311,3048.171481253841,490.5,556.3333333333334,627.6,821.0,996.0,,8.34,,81.08859,1006.4096,1835.944,2649.5728,3251.0554,-2065.7163,-1510.202,-795.5315,-334.3675,237.05005,-6163.271,-5984.714,-5646.585,-5126.856,-4486.7886,2962.1772,3466.1372,4262.8267,5145.685,5621.3237,-5881.5854,-5535.929,-4751.0947,-4241.3086,-3674.7458,1624.5,1749.0,1969.0,2165.5,2428.0,0.18163957497873173,556.0,639.0,803.5,917.0,1081.0,1906.0,2086.5,2376.0,2644.0,2856.5,1019.0,1144.6666666666667,1352.0,1647.0,1780.0,546.8051,1.1380086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-162.03564058244797,68.12755741116143]}"
0000000000000000009b_0,279.5,324.4,440.5,602.0,803.0,2222.690201784279,2870.376868552179,3866.272309681671,4313.762866946245,4829.4223554887385,489.5,517.1428571428571,602.0,776.0,929.0,,32.275,,2640.6157,4156.3555,4911.8916,5361.774,5715.029,-147.29951,798.9579,1455.0018,1848.7266,2150.901,-5910.1025,-5622.6763,-5247.464,-4659.474,-3153.005,4015.34,5332.0186,6156.1084,6801.0674,7318.0645,-6757.9478,-6551.4966,-6097.0874,-5199.6978,-4494.103,1968.0,2291.0,2573.6666666666665,2832.2,3093.0,0.47494350440948985,424.3333333333333,470.1666666666667,598.5,743.0,937.0,1717.0,1801.8,1999.6666666666667,2168.0,2480.0,691.0,789.6666666666666,905.6,1055.0,1280.0,362.58624,8.279009,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-160.71188317976944,68.05102094895445]}"
00000000000000000095_0,330.9166666666667,440.7352941176471,440.7352941176471,568.6428571428571,821.25,2285.460376337854,3177.8620060363583,3943.7806491067195,4359.9638562863765,4722.187954227127,603.9565217391304,603.9565217391304,694.08,812.7058823529412,934.0,,4.02,,2807.286,3942.122,4497.3823,4881.3003,5128.771,-106.38298,746.3582,1172.7922,1492.2167,1714.6432,-5790.4595,-5600.5576,-5206.3105,-4788.6,-3819.6877,4300.974,5166.3403,5974.722,6385.4185,6661.487,-6512.287,-6293.542,-5913.548,-5433.389,-4701.1235,2142.5,2498.714285714286,2861.5833333333335,3017.25,3261.8571428571427,0.3646231395992895,596.695652173913,596.695652173913,715.68,817.5384615384615,922.2,1839.0,2162.8888888888887,2285.8333333333335,2414.2,2530.0,945.5,1006.8888888888889,1069.125,1198.6666666666667,1346.0,390.06152,4.6482267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.07416458529116,68.13456427037755]}"
0000000000000000012f_0,337.5,369.0,444.5,526.0,752.5,3792.716337550089,4492.478403336313,5194.566143582213,5550.454448277462,6082.18332525021,553.0,612.6666666666666,681.8,770.0,922.0,,62.75,,4174.2573,4600.2695,5134.388,5456.093,5744.0933,758.1106,1134.9984,1536.9838,1894.5065,2286.2285,-6242.8687,-6085.9126,-5789.8125,-5394.5664,-4726.6514,5508.366,6390.1187,6906.8745,7246.4453,7531.36,-7166.7114,-6949.788,-6718.6616,-6426.189,-5850.585,2727.0,3205.75,3560.083333333333,3763.0,4058.5,0.4668725456555374,485.0,575.0,643.75,816.5,944.0,2095.0,2533.6666666666665,2649.3333333333335,2802.0,2870.2,989.0,1071.0,1190.5,1270.5,1369.0,512.27997,12.308459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-160.99916440763087,67.69986950439213]}"
00000000000000000124_0,483.5,532.3333333333334,605.0,693.6666666666667,819.0,1655.6689055770698,1992.7005868627782,2501.2710550442457,2856.458759078029,3126.3000249604793,669.0,732.8333333333334,795.0,875.5,1060.0,,0.295,,795.30664,1387.2562,2136.6316,2522.844,2958.2773,-1496.8741,-1032.4052,-544.59296,-143.2252,317.33118,-5394.9375,-5224.815,-4997.9814,-4629.349,-4069.2642,3066.866,3586.2173,4194.679,4687.1436,4936.3716,-5044.176,-4853.113,-4396.27,-4057.8872,-3536.1624,1752.75,1901.4666666666667,2128.0,2285.75,2532.0,0.35286690077759086,715.8,768.625,858.4,965.0,1069.5,2007.5,2234.666666666667,2405.8333333333335,2577.5,2708.6666666666665,1116.0,1296.6666666666665,1432.2,1545.0,1688.0,328.68713,7.555821,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-160.7264358873722,67.74352762720034]}"
00000000000000000145_0,334.22222222222223,452.2432432432432,452.2432432432432,562.5714285714286,1048.0,862.6155861234033,1179.2608007867877,1752.9228948885373,2208.8858621701343,2466.6966103277355,311.75,453.8095238095238,563.05,563.05,1048.0,,85.5,,2319.3174,2618.8418,3023.6543,3475.5393,3931.545,-214.49997,111.041664,518.26086,921.2195,1521.2626,-4632.215,-3800.8452,-3539.85,-2459.2395,-1085.9729,2292.617,3399.2095,3876.4233,4636.8716,5026.761,-4825.8228,-4453.9155,-3683.0103,-3168.0417,-2220.417,700.0,889.3333333333334,1321.5,1580.6666666666667,2060.0,0.6603984914160043,328.6666666666667,450.10714285714283,450.10714285714283,578.5333333333333,1124.0,670.0,807.3333333333334,1200.0,1461.0,1682.0,364.0,468.5,672.5,851.6666666666666,978.0,767.0805,25.58789,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-156.70072577311896,67.75781084021783]}"
0000000000000000000c_0,217.5,265.5,348.5,477.0,783.0,2645.8877424326747,3522.6892163429347,4334.123534366587,4782.313527449698,5163.39869281046,343.0,389.0,484.0,612.0,838.0,,7.944072174,,4181.8184,5354.6514,5906.062,6316.8584,6694.7812,986.8008,2208.1655,2824.5742,3085.1978,3510.0193,-5634.772,-5413.6685,-4770.309,-3664.4094,-2773.5369,4976.0054,6404.4043,7151.257,7885.42,8046.5073,-7341.7017,-7115.3374,-6481.0996,-5774.0825,-4630.7446,1656.0,2123.0,2410.5,2751.0,2983.0,0.6904575342413737,244.75,279.0,366.5,480.0,643.5,1034.0,1290.0,1445.3333333333333,1566.0,1724.0,431.0,552.0,648.0,727.0,872.0,635.2892,27.302528,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-152.94424074951635,67.38590831259235]}"
000000000000000000a2_0,932.0,1006.5,1068.5,1130.0,1439.0,356.68525123800964,437.42340773306864,525.6356008120786,683.9682919422061,1171.355887154953,1284.0,1342.0,1424.5,1544.5,1706.0,,0.3406666667,,-1715.0396,-1635.4987,-1457.5168,-1011.7068,-167.0061,-2347.7231,-2243.4114,-2117.2922,-1761.0599,-1192.9952,-3804.5042,-3677.4534,-3586.9968,-3375.357,-2189.5862,531.8352,698.0696,780.5047,967.79913,1346.2604,-1876.1904,-1735.7031,-1538.918,-1400.6426,-1148.1056,1804.0,1862.0,1941.5,2049.0,2519.0,0.2848333600579058,1503.0,1574.5,1652.5,1744.5,1902.0,2719.0,2853.0,3001.5,3127.0,3431.0,2240.0,2478.0,2600.5,2740.5,2902.0,942.19336,26.763641,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-156.78723353497966,68.05236842188063]}"
00000000000000000127_0,377.0,444.0,500.0,582.0,1468.0,2235.530427019789,2928.816466552316,3656.0065761146125,4849.479613533779,5516.020662500451,653.0,674.0,757.0,859.0,1489.0,,1.303897849462366,,1979.0426,2759.3408,4171.767,5151.3813,5697.849,-488.5344,52.005943,940.7906,1828.6406,2325.1482,-5892.7075,-5709.7793,-5257.001,-4776.6934,-2705.8823,3442.1536,4690.2656,5664.5815,6464.9375,7072.9053,-6638.426,-6321.0703,-5791.133,-5275.8833,-3444.0645,2207.0,2547.0,3044.0,3582.0,4007.0,0.22941475617106233,539.0,679.0,830.0,983.0,1401.0,2121.0,2364.0,2583.0,2762.0,3216.0,948.0,1163.0,1297.0,1514.0,1726.0,1196.2997,14.933405,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-153.21104038889985,67.88716824113104]}"
