"","predictor","importance_air","resp"
"1","ro",4656.2438470072,"Total lichen cover"
"2","soil",4390.68430888675,"Total lichen cover"
"3","def",3038.91208994243,"Total lichen cover"
"4","vap",2592.09861419122,"Total lichen cover"
"5","tmmn",2410.17930662236,"Total lichen cover"
"6","pr",1444.71214649553,"Total lichen cover"
"7","ndmi_p050",1334.69323822176,"Total lichen cover"
"8","ndmi_p025",1261.31152979915,"Total lichen cover"
"9","nir_p075",1192.75685346859,"Total lichen cover"
"10","ndmi_p010",1173.74952113571,"Total lichen cover"
"11","ndmi_p075",1171.65956227096,"Total lichen cover"
"12","nir_p090",1130.27353813804,"Total lichen cover"
"13","nir_p050",1126.61994041971,"Total lichen cover"
"14","swe",1126.60612317229,"Total lichen cover"
"15","aet",1114.09639486189,"Total lichen cover"
"16","nir_p025",961.17956111092,"Total lichen cover"
"17","ndmi_p090",913.118365880717,"Total lichen cover"
"18","evi_p090",872.587261459241,"Total lichen cover"
"19","ndwi_p010",839.357353276814,"Total lichen cover"
"20","vs",817.712429841114,"Total lichen cover"
"21","vpd",808.79691381824,"Total lichen cover"
"22","srad",803.013964060789,"Total lichen cover"
"23","tmmx",787.906542008628,"Total lichen cover"
"24","blue_p025",694.035495286981,"Total lichen cover"
"25","nbr_p075",625.051420484294,"Total lichen cover"
"26","evi_p075",580.78856346694,"Total lichen cover"
"27","nir_p010",567.505236834646,"Total lichen cover"
"28","nbr_p025",556.316389304968,"Total lichen cover"
"29","nbr_p010",482.060789267325,"Total lichen cover"
"30","nbr_p090",471.797099602611,"Total lichen cover"
"31","pdsi",471.679512445377,"Total lichen cover"
"32","evi_p010",439.249015540255,"Total lichen cover"
"33","evi_p025",365.744212677621,"Total lichen cover"
"34","ndwi_p075",364.282951246253,"Total lichen cover"
"35","ndwi_p090",363.753608316423,"Total lichen cover"
"36","swir2_p025",349.700693083412,"Total lichen cover"
"37","swir2_p010",322.763422458046,"Total lichen cover"
"38","ndsi_p075",320.612190099676,"Total lichen cover"
"39","swir1_p010",310.907793085046,"Total lichen cover"
"40","pet",303.478226310939,"Total lichen cover"
"41","green_p010",259.596416598545,"Total lichen cover"
"42","blue_p090",250.657582265388,"Total lichen cover"
"43","swir1_p090",231.716103597893,"Total lichen cover"
"44","swir1_p025",231.309695684009,"Total lichen cover"
"45","green_p090",214.369281586074,"Total lichen cover"
"46","ndvi_p025",213.826634696092,"Total lichen cover"
"47","ndsi_p050",188.856065356245,"Total lichen cover"
"48","red_p090",183.445534658684,"Total lichen cover"
"49","ndsi_p025",180.52218198844,"Total lichen cover"
"50","red_p075",150.037067051263,"Total lichen cover"
"51","swir1_p075",143.188572337411,"Total lichen cover"
"52","ndsi_p090",137.524213666381,"Total lichen cover"
"53","swir2_p090",47.2921834266683,"Total lichen cover"
