"","predictor","importance_air","resp"
"1","ro",4313.28187821988,"Total lichen cover"
"2","soil",3750.14798587754,"Total lichen cover"
"3","vap",2647.96115825087,"Total lichen cover"
"4","def",2586.53736584202,"Total lichen cover"
"5","tmmn",2459.54151352555,"Total lichen cover"
"6","swe",1309.68058128102,"Total lichen cover"
"7","pr",1306.6310585636,"Total lichen cover"
"8","aet",1076.1311056056,"Total lichen cover"
"9","ndvi_p090",1062.7093288035,"Total lichen cover"
"10","ndmi_p025",1013.76337691589,"Total lichen cover"
"11","ndmi_p010",999.687268268068,"Total lichen cover"
"12","nir_p090",970.689245560293,"Total lichen cover"
"13","tmmx",952.498161420906,"Total lichen cover"
"14","ndvi_p075",938.766529167976,"Total lichen cover"
"15","ndmi_p050",937.930802040883,"Total lichen cover"
"16","nir_p050",922.34081883494,"Total lichen cover"
"17","nir_p075",880.928271935104,"Total lichen cover"
"18","vs",842.181504722463,"Total lichen cover"
"19","srad",814.09280426976,"Total lichen cover"
"20","ndwi_p010",779.609101521088,"Total lichen cover"
"21","ndmi_p090",779.56897140834,"Total lichen cover"
"22","vpd",753.77874348922,"Total lichen cover"
"23","ndmi_p075",720.398689000924,"Total lichen cover"
"24","nir_p025",688.646443419601,"Total lichen cover"
"25","blue_p010",685.007837650487,"Total lichen cover"
"26","nbr_p025",654.629099247353,"Total lichen cover"
"27","ndwi_p025",653.12590265737,"Total lichen cover"
"28","nbr_p010",621.229862592375,"Total lichen cover"
"29","nbr_p050",599.996712419711,"Total lichen cover"
"30","evi_p090",572.513336987618,"Total lichen cover"
"31","nbr_p075",568.820887014001,"Total lichen cover"
"32","nbr_p090",515.910247955935,"Total lichen cover"
"33","ndvi_p050",500.291507407299,"Total lichen cover"
"34","evi_p075",476.635468152264,"Total lichen cover"
"35","blue_p025",454.127547970644,"Total lichen cover"
"36","evi_p010",454.058461898827,"Total lichen cover"
"37","ndwi_p050",379.916647861863,"Total lichen cover"
"38","nir_p010",370.490028178141,"Total lichen cover"
"39","pet",369.651701223715,"Total lichen cover"
"40","swir2_p025",357.157963865243,"Total lichen cover"
"41","ndvi_p010",337.235756376073,"Total lichen cover"
"42","green_p050",295.483279317867,"Total lichen cover"
"43","blue_p050",287.762305130276,"Total lichen cover"
"44","green_p075",286.154736762349,"Total lichen cover"
"45","evi_p050",284.325906830047,"Total lichen cover"
"46","pdsi",267.896429230409,"Total lichen cover"
"47","blue_p075",265.913432575268,"Total lichen cover"
"48","blue_p090",264.474673078822,"Total lichen cover"
"49","ndwi_p075",248.964484821297,"Total lichen cover"
"50","red_p090",245.633007484157,"Total lichen cover"
"51","red_p010",242.927248466706,"Total lichen cover"
"52","green_p090",223.626961301297,"Total lichen cover"
"53","ndvi_p025",215.158964741966,"Total lichen cover"
"54","ndwi_p090",210.480598807529,"Total lichen cover"
"55","red_p075",210.344155999206,"Total lichen cover"
"56","evi_p025",209.707176654076,"Total lichen cover"
"57","swir2_p050",209.361084079136,"Total lichen cover"
"58","swir2_p010",202.707216710282,"Total lichen cover"
"59","green_p025",201.871769806696,"Total lichen cover"
"60","green_p010",199.041224987815,"Total lichen cover"
"61","ndsi_p075",191.279154366674,"Total lichen cover"
"62","red_p050",180.111325908836,"Total lichen cover"
"63","ndsi_p010",159.696742004273,"Total lichen cover"
"64","ndsi_p025",153.599433857872,"Total lichen cover"
"65","ndsi_p090",137.219562169387,"Total lichen cover"
"66","ndsi_p050",136.967065044713,"Total lichen cover"
"67","swir1_p090",107.865404674694,"Total lichen cover"
"68","swir1_p025",106.088402440436,"Total lichen cover"
"69","swir2_p090",66.9403743373935,"Total lichen cover"
"70","swir1_p075",45.1529592719407,"Total lichen cover"
"71","swir1_p050",28.7431320982328,"Total lichen cover"
"72","swir1_p010",27.2057599695578,"Total lichen cover"
"73","red_p025",-13.9480960597881,"Total lichen cover"
"74","swir2_p075",-97.1130368070005,"Total lichen cover"
