FID,plot,other_name,gradient,park,project,SU,strata_LC,strata_GD,Observ1,Observ2,Observ3,elev,slope,inc_radiat,heat_loa,aspect,tree,subshrub,shrub,forb,gram,bryo,lichen,soil,duff,rock,water,richness,succ_p,succ_a,height,tissue,comment,lat,long,GPS_accur,Max_PDOP,Max_HDOP,Corr_Type,Rcvr_Type,GPS_Date,GPS_Time,Update_Sta,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,GPS_Height,Vert_Prec,Horz_Prec,Std_Dev,vascular,topo,HUC,Ecoreg_1,Ecoreg_2,Ecoreg_3,Eco_veg,Dep_type,Dep_Name,SecEcoR,Section,Subsect,Lithol,Physiogr,Limest,Beikman,Calcar,arcn_20100,arcn_20101,arcn_20102,arcn_20103,arcn_20104,arcn_20105,arcn_20106
0,04-B3, ,1,3,NOAT-E,Lplot,Low birch/Ericaceous,SW-block,Emily A Holt,Sarah Nunn, ,240,8,-0.522481,0.200758,220,0,13,5,40,30,30,10,0,10,0.01,2,27,2.026068,2.014198,5.5025,1, ,67.397677,-162.241131,< 15 m, , , ,Garmin 12Map,7/6/04 0:00, , , , , , , , , , , , ,4,3,3,3,230,3,83,1,2,1,78,31,13,2,1176,1,3,158,182,154,90,77,65
1,04-B5, ,1,3,NOAT-E,Lplot,Low birch/Ericaceous,SW-block,Emily A Holt,Sarah Nunn, ,70,0.5,-0.685179,0.816671,330,0.01,30,40,10,36,65,10,2,2,0,0,26,2.071759,2.159465,3,1, ,67.805228,-162.67859,< 15 m, , , ,Garmin 12Map,7/7/04 0:00, , , , , , , , , , , , ,5,3,2,8,241,2,83,1,3,19,64,23,11,2,1176,1,3,137,163,141,76,57,54
2,04-D1, ,1,3,NOAT-E,Lplot,Dwarf shrub,NW-block,Emily A Holt,Sarah Nunn, ,130,15,-0.399302,0.996943,142.5,10,15,50,12,10,25,3,2,2,1,0,19,1.992929,2.044097,1.5,1, ,68.015412,-161.503432,< 15 m, , , ,Garmin 12Map,7/11/04 0:00, , , , , , , , , , , , ,4,2,2,8,241,8,59,1,2,18,82,17,5,3,310,0,3,150,181,137,79,60,57
3,04-D12, ,1,3,NOAT-E,Lplot,Dwarf shrub,SW-block,Emily A Holt,Sarah Nunn, ,45,0,-0.676,0.237339,0,0,53,3,0.01,72,10,1,3,1,0,5,14,1.921296,2.091667,1.75,0, ,67.783168,-162.649734,< 15 m, , , ,Garmin 12Map,7/7/04 0:00, , , , , , , , , , , , ,5,3,2,8,241,6,83,1,3,19,64,23,11,2,1176,1,3,154,170,128,80,58,51
4,04-F1, ,0,3,NOAT-E,Lplot,Conifer forest,NW-block,Emily A Holt,Sarah Nunn, ,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,68.034953,-162.352757,< 15 m, , , ,Garmin 12Map,7/8/04 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,104,120,107,46,40,36
5,04-F2, ,1,3,NOAT-E,Lplot,Conifer forest,SW-block,Emily A Holt,Sarah Nunn, ,210,6,-0.568164,0.992188,130,35,22,40,47,30,35,11,2,2,0,0,25,1.46358,1.344815,3.25,0, ,67.21485,-162.081448,< 15 m, , , ,Garmin 12Map,7/12/04 0:00, , , , , , , , , , , , ,4,3,2,8,241,6,128,1,3,13,72,23,8,2,1176,1,3,77,104,135,58,26,30
6,04-F3, ,1,3,NOAT-E,Lplot,Conifer forest,NW-block,Emily A Holt,Sarah Nunn, ,95,0,-0.676,0.237339,0,20,40,48,30,25,65,25,2,3,0,7,26,1.454861,1.395299,0,1, ,68.032479,-162.389179,< 15 m, , , ,Garmin 12Map,7/8/04 0:00, , , , , , , , , , , , ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,62,88,128,47,22,25
7,04-H2, ,1,3,NOAT-E,Lplot,Herbaceous community,NW-block,Emily A Holt,Sarah Nunn, ,800,20,-0.312799,0.743581,200,0,33,0,40,10,2,10,3,5,25,0,39,2.183704,2.286632,10,0, ,68.256842,-160.429078,< 15 m, , , ,Garmin 12Map,7/10/04 0:00, , , , , , , , , , , , ,3,2,3,3,230,3,110,1,2,6,32,3,13,2,905,0,3,245,249,153,101,88,70
8,04-H3, ,1,3,NOAT-E,Lplot,Herbaceous community,NW-block,Emily A Holt,Sarah Nunn, ,360,6,-0.597986,0.781227,110,0,23,24,57,3,40,10,5,5,0,5,35,1.948512,2.005506,5,1, ,68.319024,-161.06419,< 15 m, , , ,Garmin 12Map,7/9/04 0:00, , , , , , , , , , , , ,3,3,3,3,230,3,110,1,2,6,52,23,17,2,1171,1,4,158,184,150,79,62,50
9,04-L2, ,1,3,NOAT-E,Lplot,Talus lichen,NW-block,Emily A Holt,Sarah Nunn, ,615,12,-0.951093,0.023789,340,0,2,0,4,1,1,30,0.01,0.01,90,0,38,2.29213,2.325,43.7525,0, ,68.236655,-160.786239,< 15 m, , , ,Garmin 12Map,7/10/04 0:00, , , , , , , , , , , , ,3,2,3,3,230,3,42,1,2,6,58,8,13,2,905,0,4,163,129,52,73,64,73
