plot,bryophyte,duff,forb,graminoid,lichen,rock,shrub,soil,subshrub,tree,water
04-B3,30,10,40,30,10,0.01,5,0,13,0,2
04-B5,65,2,10,36,10,0,40,2,30,0.01,0
04-D1,25,2,12,10,3,1,50,2,15,10,0
04-D12,10,1,0.01,72,1,0,3,3,53,0,5
04-F2,35,2,47,30,11,0,40,2,22,35,0
04-H2,2,5,40,10,10,25,0,3,33,0,0
04-H3,40,5,57,3,10,0,24,5,23,0,5
04-L2,1,0.01,4,1,30,90,0,0.01,2,0,0
04-W12,30,2,1,55,3,0,22,2,40,0,5
10L,35,4,17,35,13,0,0.01,7,1,0,0
10L-b,25,1,13,11,35,0.01,2,2,14,0,0
10M,11,1,3,70,15,0,0.01,0,1,0,5
10P,2,3,80,1,15,5,1,30,4,0,0
11L,15,15,18,15,25,1,0,10,17,0,5
11L-b,11,2.5,11,60,12.5,0,12,2,35,0,3.5
11M,17,4,25,38,22,0,5,0.01,35,0,1.5
11P,10,1,1,80,4,0,2,0,3,0,0.01
12L,70,0,10,30,30,1,7,5,8,0,5
12M,10,1,5,15,10,1,40,3,30,0,0.01
12P,8,3,8,50,17,0,14,1,35,0,0
12S,1,0,1,3,70,75,10,15,5,0,0
12S-b,0,0,1.5,3.5,40,70,0,4,20,0,0
13L,9.5,3.5,9,50,16,0,16,0.01,17,0,5.5
13L-b,13,1.5,11,45,16,0,25,2,20,0,4.5
13M,20,3,6,53,15,0,2,0,4,0,1
13P,4,5,6,60,2,0,41,3,30,0,3
14M,50,1,2,38,8,0,1,2,1,0,2
14P,7,1,5,65,7,0,8,1,8,0,0
15L,4,2,6,33,30,13,10,1.5,25,0,1
15M,11,2,5,47,15,0,11,0,36,0,0
15P,4.5,3,14,30,37,1,12,2,37,0,0
15S,1,1,1,2,57,70,2,0,11,0,0
15S-b,1,0.01,0.01,2,60,60,1.5,0.01,18,0,0
16M,10,1,0,81,7,0,0.01,0.01,2,0,1
16P,7,1,1,60,7,0,12,0,13,0,0
17M,28,3,3,65,17,0,4,1,16,0,2
17P,5,2,11,25,7,0,35,0,45,0,0
18M,16,0,9.5,40,27,0,2.5,0,35,0,0
18P,6,2.5,9,50,12,0,25,1,25,0,0
19M,27,2.5,6,45,12,0,5,0,40,0,0
19P,7,3,8,42,17,0,27,0.01,55,0,0.01
1L,15,0.01,15,15,45,30,20,1,30,0,1
1M,40,5,10,45,40,0,8,0,17,0,10
1P,20,5,2,30,25,0,15,0,35,0,2
1S,10,1,8,4,40,19,1,3,35,0,6
1S-b,8,2,2,12,27,45,0,1,25,0,0
20P,9,3,25,48,20,0,12,0,37,0,0.01
21M,10,3,11,60,16,0,5,0.01,30,0,1
21P,12,0,15,58,15,0,17,0.01,27,0,0.01
2L,60,5,15,30,10,10,10,1,30,0,3
2M,50,3,3,30,35,0,5,0,20,0,3
2P,8,1,1,60,11,0,10,2,20,0,8.5
2S,0.01,5,2,10,75,60,0,10,15,0,0
2S-b,4,0.5,0,1,68,80,10,0,18,0,0.01
3L,15,1,10,65,25,0,12,1.5,20,0,14
3M,18,1,7,50,25,0,10,0,30,0,4
3P,15,1,25,65,8,0,17,0,48,0,2
3S-b,4,1,2,3,58,57,10,3,15,0,0
3S-c,3,1,1,2,55,75,8,3,4,0,0
4L,10,5,5,15,40,5,12,2,23,0,1
4M,33,5,11,42,10,0,9,0,22,0,1
4P,4,0.5,8,45,21,16,15,1.5,20,0,1
4S,0.01,0.01,0,0,79,91,0,0,5,0,0
5L,28,1.5,30,40,15,2.5,0,1,1,0,0.5
5M,40,3,35,25,8,0,38,1,5,0,1
5P,7,5,9,44,2.5,0,25,1.5,45,0,1
5S,0,1,0.01,0,30,70,0,10,20,0,0
5S-b,1,0,32,9,43,55,0,4,0,0,0
6L,9,2.5,65,7,21,1.5,10,1,29,0,2
6L-b,15,0.5,2,60,14,7,1,2.5,4,0,4.5
6M,19,4,11,44,25,0,10,3.5,15,0,3
6P,6,3,6,48,32,0.01,8,0.01,30,0,0.01
6S,1,0,17,5,15,35,0,50,0,0,0
7L,35,3,0,25,2.5,0,11,2,4,0,21
7M,11,2.5,9,55,11,0,33,1.5,11,0,1
7P,5,3,11,29,47,0,7,0.01,16,0,0.01
7S,2,4.5,0.5,0.01,68,80,7,1,6,0,0
7S-b,2,3.5,1,1,75,53,20,0.01,15,0,0
8L,12,3,12,40,52,3,8,1,11,0,9
8L-b,0,11,45,10,9,3,2,15,2,0,0
8M,12,3,1,45,6,0,45,0,15,0,11
8P,8,2,0.5,68,16,0,28,0,10,0,5
8S,3,5,28,5,45,25,0,40,5,0,0
9L,30,2,20,50,11,0,15,0,25,0,5
9L-b,12,1,12,40,40,0,9,2,8,0,1
9M,14,4,10,60,32,0,8,1,4,0,0
9P,5,4,11,80,12,0,15,0,5,0,12
AADB2,3,1,2,5,5,70,0,3,20,0,0
AADD1,2,15,0.1,0.1,20,60,0,0.1,45,0,0
AADD2,0.1,0.1,0.1,2,2,50,0,5,40,0,0
AADD3,0.1,0.1,0.1,1,0.1,90,0,3,10,0,0
AMDD2,0.1,1,0.1,0.1,3,65,0,0.1,25,0,0
ANDB2,5,2,4,0.1,2,15,0,0.1,75,0,0
ANDD1,5,2,3,1,15,35,0,1,50,0,0
AW4,15,25,0.1,30,0.1,0.1,55,0.1,70,0,0
CBM3R,40,5,1,20,8,0.1,0,3,30,0,1
CF2R,65,35,35,25,0.1,0.1,25,0,50,20,0
CNF2,95,3,0.1,8,15,0,25,0.1,55,35,0.1
CNF5,60,60,0.1,0.1,1,0,20,0,45,20,0
CNFJ1,95,25,1,0.1,1,0,10,0,75,40,0
CNFJ2,75,5,1,0.1,25,0,5,0.1,25,30,0
CT1R,55,2,0.1,25,7,0.1,0,0.1,65,0,0.1
CT2R,70,1,0.1,10,20,0,0,0,30,0,0
DBTT1R,90,5,0.1,85,0.1,0,0,0.1,15,0,0.1
DBTT3R,30,0.1,0.1,60,0.1,0,0,0,30,0,0.1
DSC1,50,25,8,0.1,2,1,0,1,80,0,0
DSC4,80,5,15,36,1,0.1,0,0.1,65,0,0.1
