plot,grazing,tree,forb,graminoid,bryophyte,lichen,soil,duff,rock,water
Q3-L5,0,0,2,0.01,0.01,0.01,0.01,0,98,0
NE-5b,0,0,25,3,35,10,10,20,50,0
Q1-L2,0,0,15,2,2,40,2,1,1,0
Q3-A5,0,0,20,5,20,5,0.01,1,40,7
Q3-D2,0,0,35,5,5,25,0.01,1,0,0
Q3-L2,0,0,40,0.01,5,15,3,3,10,0
Q3-H3,0,0,45,2,5,15,2,1,15,0
NW-5a,0,0,4,0.1,3,5,5,0.1,75,0
04-H3,0,0,57,3,40,10,5,5,0,5
NE-3a,0,0,5,15,55,35,4,10,0.1,0
NW-1a,0,0,12,25,50,3,2,25,0,3
SV2,0,0,0.1,0,4,5,10,0,88,0
NW-2a,0,0,1,35,80,1,0.1,15,0,1
04-H2,0,0,40,10,2,10,3,5,25,0
04-L2,0,0,4,1,1,30,0.01,0.01,90,0
NE-5c,0,0,10,8,15,18,2,15,50,0
Dwarf18,0,0,0.5,0.5,5,5,0,5,45,0
NW-6a,0,0,35,60,5,3,10,50,0,0
Acid155,0,0,0,0,0.5,0.5,0,0,99,0
Acid91,0,0,0,0.5,3,0.5,3,0.5,85,0
Dwarf107,0,0,0,0.5,0.5,0.5,30,1,25,0
Dwarf29,0,0,0.5,40,25,1,1,0.5,20,0.5
NE-4b,0,0,10,90,30,1,0.1,40,0,3
NW-1b,0,40,15,30,50,5,0.1,50,0,0
NW-1d,0,27,0.1,20,65,5,3,15,0,0
NW-1e,0,45,45,5,75,0.1,0.1,35,0,0
NE-4a,0,0,0.1,45,50,1,8,30,0,0
NW-3c,0,0,0,82,65,1,2.5,40,0,1
04-D1,0,10,12,10,25,3,2,2,1,0
NE-3b,0,0,0.1,75,35,1.5,3,25,0.1,0
NE-4c,0,0,0.1,70,50,1,0.1,35,0,0
NW-2b,0,0,0.1,60,70,0.1,0.1,25,0,0
NW-3b,0,0,15,70,60,5,0.1,40,0,0
NW-6b,0,0,0.1,55,40,4,1,0,0,0
NE-6b,0,0,0,70,50,4,1,45,0,0.1
NW-1c,0,32,15,8,75,5,2,10,0,0
NW-3a,0,0,0.1,75,70,3,1,45,0,0
Dwarf14,0,0,5,1,5,3,0.5,0.5,25,0
Lowrc149,0,0,0.5,40,30,0.5,1,3,0,0
NE-5a,0,0,3,2,0.1,0.1,10,0.1,85,0
NE-6a,0,0,0,70,30,2,5,30,0,0
SE-4a,0,0,25,20,80,30,10,20,10,0
SW-1a,0,0,3,60,70,1,0.1,50,0,3
SW-1d,0,0,0.1,60,65,0.1,2,40,0,0.1
Acid18,0,0,1,0.5,35,10,0,0.5,45,0
Acid191,0,0,1,0.5,0.5,0.5,0,0,99,0
