plot,adjusted_height,sample_year,sample_date,latitude,longitude,fruticose_lichen_total_cover,foliose_lichen_total_cover,multiform_lichen_total_cover,crustose_lichen_total_cover,lichen_total_cover,dark_lichen_4bin_total_cover,light_lichen_4bin_total_cover,yellow_lichen_4bin_total_cover,dark_lichen_3bin_total_cover,light_lichen_3bin_total_cover,dark_lichen_2bin_total_cover,light_lichen_2bin_total_cover,black_lichen_8bin_total_cover,brown_lichen_8bin_total_cover,grey_lichen_8bin_total_cover,greygreen_lichen_8bin_total_cover,green_lichen_8bin_total_cover,orange_lichen_8bin_total_cover,white_lichen_8bin_total_cover,yellow_lichen_8bin_total_cover,lichen_volume
04-B3,3.05,2004,2004-07-06,67.397677,-162.241131,7.692307692307692,2.3076923076923075,0,0,10,3.5897435897435894,2.564102564102564,3.846153846153846,3.5897435897435894,6.41025641025641,3.5897435897435894,6.41025641025641,0,1.282051282051282,1.282051282051282,1.0256410256410255,0,0,2.564102564102564,3.846153846153846,30.5
04-B5,2.586666667,2004,2004-07-07,67.805228,-162.67859,5.471698113207548,4.339622641509434,0,0.18867924528301888,10.000000000000002,5.471698113207548,1.1320754716981132,3.39622641509434,5.471698113207548,4.528301886792454,5.471698113207548,4.528301886792454,0,0.5660377358490567,2.264150943396227,2.6415094339622645,0,0.18867924528301888,0.9433962264150944,3.39622641509434,25.86666667
04-D1,3.175,2004,2004-07-11,68.015412,-161.503432,2.0294117647058822,0.9705882352941178,0,0,3,1.7647058823529413,0.08823529411764706,1.147058823529412,1.7647058823529413,1.2352941176470589,1.7647058823529413,1.2352941176470589,0,0.08823529411764706,1.147058823529412,0.5294117647058824,0,0,0.08823529411764706,1.147058823529412,9.525
04-D12,4.596666667,2004,2004-07-07,67.783168,-162.649734,0.8,0.2,0,0,1,0.45,0.15000000000000002,0.4,0.45,0.55,0.45,0.55,0,0.05,0.2,0.2,0,0,0.15000000000000002,0.4,4.596666667
04-F2,3.29,2004,2004-07-12,67.21485,-162.081448,8.53061224489796,2.4693877551020407,0,0,11,5.836734693877551,2.020408163265306,3.142857142857143,5.836734693877551,5.163265306122449,5.836734693877551,5.163265306122449,0,1.7959183673469388,3.36734693877551,0.673469387755102,0,0,2.020408163265306,3.142857142857143,36.19
04-H2,3.69,2004,2004-07-10,68.256842,-160.429078,7.088607594936709,2.9113924050632916,0,0,10,5.3164556962025316,1.518987341772152,3.1645569620253164,5.3164556962025316,4.6835443037974684,5.3164556962025316,4.6835443037974684,0,2.6582278481012658,1.6455696202531647,0.6329113924050633,0.379746835443038,0,1.518987341772152,3.1645569620253164,36.9
04-H3,2.895,2004,2004-07-09,68.319024,-161.06419,6.19718309859155,3.802816901408451,0,0,10,6.19718309859155,1.267605633802817,2.535211267605634,6.19718309859155,3.802816901408451,6.197183098591549,3.802816901408451,0,1.5492957746478873,2.2535211267605635,1.8309859154929577,0.5633802816901409,0,1.267605633802817,2.535211267605634,28.95
04-L2,3.113333333,2004,2004-07-10,68.236655,-160.786239,23.6,6.4,0,0,30,12.8,6,11.200000000000001,12.8,17.200000000000003,12.8,17.200000000000003,0,7.6000000000000005,4,0.8,0.4,0,6,11.200000000000001,93.39999999
04-W12,4.515,2004,2004-07-09,67.602414,-162.621903,2.4,0.6,0,0,3,1.14,0.72,1.14,1.14,1.8599999999999999,1.14,1.8599999999999999,0,0.24,0.72,0.18,0,0,0.72,1.14,13.545
10L,7.371213448,2003,2003-06-28,65.866765,-163.606038,11.470588235294116,1.5294117647058822,0,0,12.999999999999998,6.117647058823529,1.1470588235294117,5.735294117647058,6.117647058823529,6.882352941176469,6.117647058823529,6.882352941176469,0,4.205882352941176,1.9117647058823528,0,0,0,1.1470588235294117,5.735294117647058,95.825774824
10L-b,5.580806506,2003,2003-06-28,66.006739,-163.265451,30.27027027027027,4.72972972972973,0,0,35,12.297297297297298,4.72972972972973,17.972972972972972,12.297297297297298,22.7027027027027,12.297297297297298,22.7027027027027,0,7.5675675675675675,2.8378378378378377,1.8918918918918919,0,0,4.72972972972973,17.972972972972972,195.32822771
