"","Lichen Group","Obs vs Pred correlation","MAE","RMSE","SSE"
"1","Fruticose lichen cover","0.46","6.46","9.4","33944.57"
"2","Foliose lichen cover","0.33","1.82","2.67","2741.97"
"3","Multiform lichen cover","0","0.01","0.05","0.89"
"4","Crustose lichen cover","0","0.09","0.18","12.9"
"5","Total lichen cover","0.41","8.08","11.77","53202.62"
"6","Dark (4 category) lichen cover","0.39","3.76","5.55","11814.38"
"7","Light (4 category) lichen cover","0.44","1.38","2.07","1637.91"
"8","Yellow (4 category) lichen cover","0.43","3.16","4.58","8039.04"
"9","Dark (3 category) lichen cover","0.36","3.88","5.66","12292.8"
"10","Light (3 category) lichen cover","0.45","4.52","6.4","15751.89"
"11","Dark (2 category) lichen cover","0.33","4.03","5.81","12946.63"
"12","Light (2 category) lichen cover","0.44","4.61","6.47","16053.89"
"13","Black (8 category) lichen cover","0.1","0.11","0.29","33.36"
"14","Brown (8 category) lichen cover","0.39","1.8","2.76","2932.13"
"15","Gray (8 category) lichen cover","0.34","1.81","2.83","3084.16"
"16","Gray-green (8 category) lichen cover","0","0.49","0.82","256.68"
"17","Green (8 category) lichen cover","0.03","0.16","0.26","25.13"
"18","Orange (8 category) lichen cover","0.01","0.01","0.05","1.16"
"19","White (8 category) lichen cover","0.45","1.34","2.05","1612.7"
"20","Yellow (8 category) lichen cover","0.45","3.02","4.47","7674.69"
"21","Lichen volume","0.47","48.98","77.51","2307197.33"
